날짜,5Hr,6Hr,7Hr,8Hr,9Hr,10Hr,11Hr,12Hr,13Hr,14Hr,15Hr,16Hr,17Hr,18Hr,19Hr,20Hr,충전시간발전량,일출시간,일몰시간,강수량5hr,강수량6hr,강수량7hr,강수량8hr,강수량9hr,강수량10hr,강수량11hr,강수량12hr,강수량13hr,강수량14hr,강수량15hr,강수량16hr,강수량17hr,강수량18hr,강수량19hr,강수량20hr,습도5hr,습도6hr,습도7hr,습도8hr,습도9hr,습도10hr,습도11hr,습도12hr,습도13hr,습도14hr,습도15hr,습도16hr,습도17hr,습도18hr,습도19hr,습도20hr,풍속5hr,풍속6hr,풍속7hr,풍속8hr,풍속9hr,풍속10hr,풍속11hr,풍속12hr,풍속13hr,풍속14hr,풍속15hr,풍속16hr,풍속17hr,풍속18hr,풍속19hr,풍속20hr,기온5hr,기온6hr,기온7hr,기온8hr,기온9hr,기온10hr,기온11hr,기온12hr,기온13hr,기온14hr,기온15hr,기온16hr,기온17hr,기온18hr,기온19hr,기온20hr
160701,0.0,2.5,36.9,44.4,29.2,59.3,33.9,9.2,28.4,1.3,1.1,7.3,1.5,0.2,0.0,0,140.5,524,1949,3.2,15.7,4.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,2.1,1.0,0.0,93.0,94.0,95.0,95.0,94.0,93.0,92.0,91.0,90.0,91.0,92.0,93.0,94.0,94.0,95.0,96.0,4.3,2.5,2.7,1.8,2.6,2.4,3.0,1.9,1.5,1.7,3.0,3.7,4.4,5.6,4.9,4.8,22.6,22.200001,22.299999,23.9,24.5,24.299999,24.1,23.6,24.299999,24.200001,24.700001,24.5,24.200001,22.799999,22.4,22.200001
160702,0.0,7.3,24.4,30.1,31.4,57.0,1.1,1.8,5.9,27.3,111.2,72.5,16.8,15.4,4.8,0,276.8,524,1949,16.799999,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,0.0,0.0,96.0,96.0,94.0,93.0,95.0,94.0,95.0,96.0,95.0,96.0,95.0,95.0,90.0,96.0,95.0,96.0,1.6,1.6,3.0,4.9,5.1,2.9,1.3,0.5,1.1,3.5,2.2,1.5,2.6,1.6,1.6,0.3,22.799999,22.799999,23.200001,22.299999,21.200001,21.299999,20.299999,21.0,21.0,20.4,20.4,20.6,19.9,20.700001,20.1,20.0
160703,0.0,0.0,14.0,16.9,39.7,17.1,10.4,53.9,23.1,3.3,0.0,0.0,0.0,4.6,0.1,0,107.8,525,1948,0.0,2.5,8.2,5.5,1.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,92.0,94.0,95.0,95.0,96.0,96.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,96.0,3.2,1.9,2.0,3.7,2.7,2.2,1.0,1.2,0.7,1.3,1.9,0.6,0.5,0.4,0.2,0.1,21.200001,21.0,20.700001,20.5,21.0,20.799999,21.0,21.4,21.700001,22.0,22.1,22.1,22.200001,22.299999,22.200001,22.299999
160704,0.0,0.0,0.0,0.0,8.4,50.7,64.2,146.0,276.5,181.0,146.1,148.4,24.4,9.8,0.5,0,1012.9,525,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,87.0,86.0,90.0,91.0,92.0,94.0,95.0,96.0,96.0,95.0,95.0,96.0,96.0,96.0,96.0,2.5,1.3,2.5,2.7,0.9,1.7,2.1,0.9,0.8,0.7,0.4,0.1,0.6,0.4,0.3,0.9,24.9,26.0,26.4,24.700001,24.799999,23.9,23.799999,23.6,23.6,23.0,22.9,22.700001,22.700001,22.799999,22.6,22.5
160705,0.0,13.8,74.7,147.0,177.9,306.2,347.2,389.1,302.7,292.2,184.8,153.4,84.0,48.0,1.0,0,1975.6,526,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,81.0,81.0,83.0,81.0,83.0,87.0,90.0,91.0,92.0,94.0,94.0,95.0,95.0,94.0,95.0,96.0,3.0,2.8,3.2,3.5,3.9,2.7,2.2,3.0,2.2,3.0,3.6,2.6,2.3,1.2,3.0,1.4,27.5,27.700001,26.799999,27.9,27.0,26.4,25.9,25.6,24.9,24.9,24.5,23.6,24.4,24.6,24.5,24.4
160706,0.0,18.8,66.1,210.4,226.4,360.6,373.4,380.5,411.6,309.9,280.0,128.3,80.9,40.0,4.2,0,2244.3,526,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,82.0,79.0,83.0,86.0,88.0,91.0,93.0,94.0,94.0,96.0,96.0,96.0,96.0,96.0,96.0,3.4,2.2,2.6,2.9,1.9,2.7,1.8,1.1,0.9,1.0,1.3,0.6,0.1,0.1,0.1,0.2,28.5,28.4,29.200001,27.6,26.5,26.4,25.799999,24.700001,24.5,24.0,22.5,22.6,22.9,22.9,22.4,22.200001
160707,0.0,11.5,49.9,139.7,186.4,210.7,299.6,369.8,361.0,356.6,279.8,128.4,125.2,28.9,2.0,0,2005.9,527,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,83.0,84.0,86.0,89.0,92.0,92.0,93.0,93.0,95.0,93.0,93.0,93.0,94.0,93.0,2.7,2.7,2.9,2.3,2.1,1.1,0.8,1.3,1.2,0.8,1.7,0.7,0.5,0.8,1.4,0.9,27.200001,26.6,26.6,26.5,25.700001,24.6,23.6,23.700001,23.4,23.1,23.0,23.299999,23.200001,23.200001,23.4,23.700001
160708,0.0,14.9,85.7,196.1,286.8,360.0,316.1,213.3,368.9,374.2,309.2,219.2,115.3,25.5,0.9,0,2160.9,527,1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,72.0,71.0,79.0,86.0,90.0,89.0,92.0,93.0,95.0,95.0,96.0,96.0,96.0,96.0,3.6,3.7,2.6,1.5,2.2,1.8,0.9,1.5,0.3,0.1,0.0,0.0,0.6,0.1,0.1,0.0,28.299999,28.200001,28.799999,29.0,26.5,24.700001,23.6,23.5,22.700001,22.799999,22.299999,22.200001,21.700001,21.799999,21.4,21.5
160709,0.0,14.2,79.2,180.4,265.5,215.5,318.0,374.0,385.7,356.4,303.5,215.9,123.4,28.4,0.8,0,2169.0,528,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,81.0,85.0,89.0,92.0,95.0,98.0,97.0,95.0,94.0,95.0,96.0,96.0,96.0,96.0,4.6,4.9,4.5,4.1,3.8,3.6,3.6,3.7,3.8,1.3,0.7,0.5,0.4,0.4,0.1,0.5,28.9,29.1,28.9,28.5,28.1,27.1,26.1,25.1,24.799999,23.1,22.299999,22.0,21.5,21.700001,21.5,21.1
160710,0.0,4.0,43.1,99.7,108.6,157.2,170.6,128.6,99.0,103.9,84.3,56.8,29.4,12.1,0.1,0,800.3999999999999,529,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,87.0,86.0,88.0,89.0,92.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,95.0,1.3,1.8,2.3,1.2,0.9,0.3,1.2,0.8,0.1,0.2,1.0,0.8,0.4,0.1,0.6,1.2,25.200001,25.5,24.1,24.200001,24.200001,23.9,22.1,22.0,22.200001,22.1,21.6,21.4,21.6,22.1,22.4,21.9
160711,0.0,2.5,35.1,70.2,196.4,307.6,247.0,149.7,121.2,110.7,77.8,108.2,54.6,18.4,0.0,0,1122.2,529,1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,3.5,84.0,84.0,88.0,87.0,87.0,89.0,91.0,92.0,93.0,93.0,94.0,95.0,95.0,96.0,96.0,96.0,1.9,1.1,0.8,1.6,1.7,0.9,0.9,2.0,0.3,0.6,0.1,0.6,0.4,0.1,0.2,0.4,24.5,24.6,23.700001,24.700001,24.299999,23.5,22.9,22.700001,22.9,23.1,22.9,22.6,22.5,22.6,22.9,22.700001
160712,0.0,0.0,18.4,27.1,8.1,46.5,29.3,19.4,17.5,33.6,15.8,20.5,5.5,14.1,12.9,0,182.6,530,1946,3.5,0.9,2.6,3.5,2.8,4.5,0.4,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.2,0.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,96.0,96.0,96.0,96.0,96.0,97.0,0.4,0.8,1.1,2.4,2.5,2.3,1.7,1.0,1.1,0.2,0.4,0.2,1.1,0.5,0.2,0.1,21.6,22.1,22.200001,21.9,22.200001,22.1,21.6,22.0,22.1,22.1,22.1,22.4,22.6,22.6,22.5,22.299999
160713,0.0,0.1,69.6,87.9,59.1,136.8,265.6,290.0,247.0,144.6,115.3,65.6,93.2,35.1,0.5,0,1264.9,530,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,88.0,89.0,88.0,86.0,90.0,93.0,92.0,93.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,2.1,3.4,3.3,2.8,2.5,3.2,1.3,1.9,0.3,0.1,0.7,0.6,0.4,2.9,1.4,1.3,26.1,25.6,24.799999,25.299999,26.6,23.9,23.1,24.5,22.799999,22.200001,22.5,22.299999,22.1,22.700001,22.799999,22.200001
160714,0.0,18.5,65.9,196.1,271.3,358.1,385.8,413.8,413.0,383.9,317.2,237.4,128.2,19.8,1.7,0,2509.2,531,1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,61.0,60.0,62.0,67.0,74.0,82.0,85.0,88.0,90.0,90.0,93.0,88.0,88.0,87.0,86.0,4.0,4.4,3.2,3.3,1.9,2.4,2.2,2.7,1.3,0.3,3.2,2.9,4.3,4.1,4.1,3.4,28.1,28.799999,28.700001,28.299999,27.1,25.6,24.200001,23.799999,23.0,22.299999,23.1,22.6,22.6,22.299999,22.1,22.1
160715,0.0,9.9,72.8,173.1,289.6,349.3,357.5,419.8,356.3,374.9,271.5,163.1,28.3,0.5,0.0,0,2292.4,532,1945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.3,0.0,70.0,68.0,70.0,78.0,80.0,80.0,83.0,84.0,86.0,89.0,90.0,89.0,91.0,92.0,92.0,90.0,4.9,5.4,5.9,5.3,4.5,3.8,4.5,4.3,4.0,4.3,4.6,4.4,4.6,3.8,4.5,4.7,25.299999,25.299999,25.0,23.6,23.299999,23.299999,23.0,23.1,23.0,22.9,22.6,22.5,22.4,21.799999,22.0,22.299999
160716,0.0,0.0,0.0,0.0,6.5,16.2,48.5,107.5,220.3,162.8,67.1,49.6,98.8,30.5,2.5,0,672.0,532,1945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,79.0,81.0,85.0,84.0,85.0,86.0,90.0,91.0,92.0,93.0,92.0,93.0,92.0,93.0,94.0,4.8,4.5,4.0,4.5,4.4,3.6,3.0,2.4,2.4,2.4,2.5,2.2,2.2,2.4,1.7,1.0,26.700001,26.1,25.1,24.700001,24.299999,23.9,23.4,22.6,22.4,22.1,22.200001,22.299999,21.700001,22.1,21.9,21.9
160717,0.0,0.0,36.3,122.0,161.8,130.4,154.7,354.8,379.5,319.0,287.1,205.5,125.0,33.5,1.2,0,1831.0,533,1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,77.0,78.0,79.0,80.0,83.0,88.0,89.0,92.0,93.0,93.0,92.0,93.0,94.0,94.0,94.0,3.7,3.8,4.9,3.8,3.1,3.9,1.2,1.8,0.6,0.5,0.9,1.3,0.2,0.1,0.1,0.2,26.9,26.700001,26.4,26.200001,25.1,24.1,23.200001,22.799999,21.6,21.6,21.4,21.4,21.200001,20.5,20.4,20.299999
160718,0.0,10.2,46.1,118.7,187.3,307.2,355.3,308.7,248.1,256.5,256.0,205.0,73.9,35.0,2.7,0,1936.8,533,1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,71.0,67.0,67.0,75.0,80.0,84.0,86.0,89.0,91.0,90.0,92.0,92.0,93.0,92.0,91.0,1.7,2.1,2.4,2.4,1.0,0.4,0.2,0.4,0.3,0.0,0.2,0.2,0.1,0.2,0.1,1.6,27.1,26.4,26.799999,27.200001,25.200001,24.200001,23.200001,22.700001,22.299999,22.0,21.700001,21.9,22.0,21.799999,22.200001,21.700001
160719,0.0,14.9,81.2,156.1,221.6,242.8,361.2,369.3,407.0,292.7,108.5,126.6,78.7,32.3,1.0,0,1908.1,534,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,80.0,80.0,81.0,83.0,85.0,87.0,86.0,87.0,88.0,89.0,90.0,89.0,90.0,89.0,88.0,4.1,3.5,3.3,3.6,3.9,3.1,2.1,3.2,3.0,2.8,1.9,2.9,2.8,3.0,2.9,2.0,27.1,25.799999,26.1,26.200001,25.299999,24.4,23.5,23.5,23.299999,23.299999,23.299999,23.200001,23.200001,23.0,23.0,22.799999
160720,0.0,3.7,80.8,183.7,288.2,323.9,398.4,421.5,418.7,386.4,316.8,221.9,106.8,23.5,1.1,0,2487.600000000001,535,1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,73.0,75.0,79.0,82.0,86.0,88.0,88.0,89.0,89.0,90.0,90.0,89.0,89.0,90.0,90.0,4.8,5.1,4.4,3.7,4.2,4.3,4.4,4.8,4.2,3.5,2.9,2.6,2.1,3.2,3.3,3.3,27.200001,26.4,26.1,25.299999,24.700001,23.6,23.4,23.4,23.4,23.200001,23.1,22.799999,22.700001,22.700001,22.6,22.700001
